Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
WatervOTU68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU74,0,0,0,0,16.86377,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU77,77.63863,0,62.00524,52.79631,71.09625,0,0,24.38745,0,0,0,0,0,217.3219,248.9666,0,420.9996
WatervOTU78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU80,59.42479,0,64.20591,0,73.38804,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU95,0,0,0,31.3476,31.78765,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU99,81.24467,50.85,44.252,77.42067,61.69385,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU102,37.89137,0,36.53519,0,40.17691,0,0,0,153.0793,0,0,92.07507,566.1737,563.0666,637.1215,402.6922,947.2008
WatervOTU103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU127,35.30345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU128,0,0,0,0,18.70155,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU141,204.3796,208.1531,139.3639,143.1358,176.3349,122.1379,0,0,0,0,0,0,0,0,0,0,0
WatervOTU142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU149,0,0,0,0,51.70762,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU174,456.9354,389.2327,67.64096,82.86684,83.16311,86.25361,0,22.86291,0,0,0,0,0,0,0,0,0
WatervOTU175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU193,72.3577,0,50.61868,30.29179,30.21788,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU206,39.1618,0,54.23722,57.37293,74.17147,48.30218,0,83.19524,136.6895,0,0,0,0,0,0,0,0
WatervOTU207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU229,0,0,38.69034,52.81321,52.25323,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU230,0,0,32.75345,0,62.35875,0,0,0,100.6844,0,0,0,0,0,0,0,0
WatervOTU231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU237,235.8591,107.4127,150.3661,95.33123,92.99753,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU249,527.6781,782.2406,375.2558,231.9489,330.1145,100.836,111.3753,34.11403,0,0,0,0,0,0,0,0,0
WatervOTU250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU256,57.98453,0,34.91723,50.03476,33.04479,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU262,0,0,0,0,22.33542,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU264,0,0,0,0,25.35225,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU269,0,0,0,0,0,0,0,0,0,0,0,66.89197,0,0,0,0,0
WatervOTU270,66.25967,126.3492,71.27619,140.0219,120.6196,177.593,51.64043,25.41076,51.90442,0,0,0,0,0,0,0,0
WatervOTU271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU286,86.14242,65.48756,84.00012,104.5401,110.2787,71.50601,0,59.63809,39.71435,0,0,0,0,0,0,0,0
WatervOTU287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU293,0,0,0,0,22.87047,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU305,0,0,0,0,0,0,0,219.8469,838.6363,0,0,0,0,0,0,0,0
WatervOTU306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatervOTU320,228.3603,163.291,182.9767,169.561,221.5505,78.42537,0,65.11257,0,0,0,0,0,0,0,0,0
